ILMN_1762337,Gene_1
ILMN_1771348,Gene_261
ILMN_2134039,Gene_262
ILMN_1750800,Gene_263
ILMN_1654861,Gene_264
ILMN_2121389,Gene_265
ILMN_1715543,Gene_266
ILMN_1739594,Gene_267
ILMN_2353978,Gene_268
ILMN_1785474,Gene_269
ILMN_2188959,Gene_270
ILMN_1716237,Gene_271
ILMN_1764321,Gene_272
ILMN_2156699,Gene_273
ILMN_1788078,Gene_274
ILMN_1784756,Gene_275
ILMN_1728883,Gene_276
ILMN_1740265,Gene_277
ILMN_2252621,Gene_278
ILMN_2332250,Gene_279
ILMN_1719178,Gene_280
ILMN_1679600,Gene_281
ILMN_2367070,Gene_282
ILMN_1658995,Gene_283
ILMN_1750158,Gene_284
ILMN_1668839,Gene_285
ILMN_1765767,Gene_286
ILMN_1685703,Gene_287
ILMN_1743396,Gene_288
ILMN_1743680,Gene_289
ILMN_1669633,Gene_290
ILMN_2344956,Gene_291
ILMN_2104830,Gene_292
ILMN_2078599,Gene_293
ILMN_2234343,Gene_294
ILMN_1706598,Gene_295
ILMN_2306955,Gene_296
ILMN_1758323,Gene_297
ILMN_1728331,Gene_298
ILMN_2351906,Gene_299
ILMN_1705637,Gene_300
ILMN_1784203,Gene_301
ILMN_1666690,Gene_302
ILMN_1654468,Gene_303
ILMN_2320277,Gene_304
ILMN_2227011,Gene_305
ILMN_1730002,Gene_306
ILMN_1716832,Gene_307
ILMN_1684585,Gene_308
ILMN_2360705,Gene_309
ILMN_1654414,Gene_310
ILMN_1666096,Gene_311
ILMN_2391458,Gene_312
ILMN_2285506,Gene_313
ILMN_1691714,Gene_314
ILMN_1683598,Gene_315
ILMN_2370882,Gene_316
ILMN_2273911,Gene_317
ILMN_1807914,Gene_318
ILMN_1678517,Gene_319
ILMN_1705247,Gene_320
ILMN_1737418,Gene_321
ILMN_2278242,Gene_322
ILMN_1730025,Gene_323
ILMN_2378555,Gene_324
ILMN_1661434,Gene_325
ILMN_1809623,Gene_326
ILMN_1657592,Gene_327
ILMN_1765912,Gene_328
ILMN_1746128,Gene_329
ILMN_1685952,Gene_330
ILMN_1662738,Gene_331
ILMN_1771084,Gene_332
ILMN_1791923,Gene_333
ILMN_1801698,Gene_334
ILMN_1766966,Gene_335
ILMN_2070792,Gene_336
ILMN_1752269,Gene_337
ILMN_1697510,Gene_338
ILMN_2254962,Gene_339
ILMN_2336595,Gene_340
ILMN_1714197,Gene_341
ILMN_1742859,Gene_342
ILMN_1659885,Gene_343
ILMN_2125869,Gene_344
ILMN_1671703,Gene_345
ILMN_2152131,Gene_346
ILMN_1777296,Gene_347
ILMN_2038777,Gene_348
ILMN_1658660,Gene_349
ILMN_1829919,Gene_350
ILMN_2053178,Gene_351
ILMN_1704961,Gene_352
ILMN_1795325,Gene_353
ILMN_1749297,Gene_354
ILMN_2328280,Gene_355
ILMN_1657855,Gene_356
ILMN_1717900,Gene_357
ILMN_1796088,Gene_358
ILMN_1704078,Gene_359
ILMN_2232177,Gene_360
ILMN_1654422,Gene_361
ILMN_1665691,Gene_362
ILMN_1725534,Gene_363
ILMN_1798254,Gene_364
ILMN_1792314,Gene_365
ILMN_1695821,Gene_366
ILMN_2388605,Gene_367
ILMN_1657153,Gene_368
ILMN_2260392,Gene_369
ILMN_2346451,Gene_370
ILMN_1787513,Gene_371
ILMN_1680941,Gene_372
ILMN_1652594,Gene_373
ILMN_1697585,Gene_374
ILMN_1689162,Gene_375
ILMN_1815392,Gene_376
ILMN_1760490,Gene_377
ILMN_1786544,Gene_378
ILMN_1763916,Gene_379
ILMN_2243308,Gene_380
ILMN_1766723,Gene_381
ILMN_1689217,Gene_382
ILMN_1670912,Gene_383
ILMN_2152711,Gene_384
ILMN_1668983,Gene_385
ILMN_1824337,Gene_386
ILMN_1807493,Gene_387
ILMN_1683883,Gene_388
ILMN_1670193,Gene_389
ILMN_2319825,Gene_390
ILMN_1694233,Gene_391
ILMN_1686432,Gene_392
ILMN_1697550,Gene_393
ILMN_2158705,Gene_394
ILMN_1803686,Gene_395
ILMN_1745580,Gene_396
ILMN_1745108,Gene_397
ILMN_1725043,Gene_398
ILMN_2148360,Gene_399
ILMN_1718946,Gene_400
ILMN_1711374,Gene_401
ILMN_1726266,Gene_402
ILMN_1705689,Gene_403
ILMN_1785393,Gene_404
ILMN_2384544,Gene_405
ILMN_1756920,Gene_406
ILMN_1799728,Gene_407
ILMN_1751500,Gene_408
ILMN_2121068,Gene_409
ILMN_1765779,Gene_410
ILMN_2201386,Gene_411
ILMN_1682225,Gene_412
ILMN_1788481,Gene_413
ILMN_1713751,Gene_414
ILMN_1662675,Gene_415
ILMN_1737629,Gene_416
ILMN_1812112,Gene_417
ILMN_1675210,Gene_418
ILMN_1706302,Gene_419
ILMN_2351754,Gene_420
ILMN_2060086,Gene_421
ILMN_1664236,Gene_422
ILMN_1664631,Gene_423
ILMN_1802100,Gene_424
ILMN_2194158,Gene_425
ILMN_2100871,Gene_426
ILMN_1703383,Gene_427
ILMN_1806841,Gene_428
ILMN_1798045,Gene_429
ILMN_2293012,Gene_430
ILMN_1651657,Gene_431
ILMN_1671297,Gene_432
ILMN_1669486,Gene_433
ILMN_1795204,Gene_434
ILMN_2223911,Gene_435
ILMN_1685531,Gene_436
ILMN_1764554,Gene_437
ILMN_2302214,Gene_438
ILMN_1783312,Gene_439
ILMN_2143210,Gene_440
ILMN_1750294,Gene_441
ILMN_1708348,Gene_442
ILMN_1727524,Gene_443
ILMN_1716909,Gene_444
ILMN_2103107,Gene_445
ILMN_1673566,Gene_446
ILMN_1751168,Gene_447
ILMN_1660970,Gene_448
ILMN_1787386,Gene_449
ILMN_2286570,Gene_450
ILMN_2413732,Gene_451
ILMN_1873412,Gene_452
ILMN_1676452,Gene_453
ILMN_2358134,Gene_454
ILMN_1683781,Gene_455
ILMN_1726247,Gene_456
ILMN_1682989,Gene_457
ILMN_1739872,Gene_458
ILMN_1770152,Gene_459
ILMN_1656171,Gene_460
ILMN_1796628,Gene_461
ILMN_1811765,Gene_462
ILMN_1791795,Gene_463
ILMN_1787908,Gene_464
ILMN_1651717,Gene_465
ILMN_1703803,Gene_466
ILMN_2092933,Gene_467
ILMN_1681886,Gene_468
ILMN_1767362,Gene_469
ILMN_2211790,Gene_470
ILMN_1672403,Gene_471
ILMN_1805543,Gene_472
ILMN_1706992,Gene_473
ILMN_1684919,Gene_474
ILMN_1727084,Gene_475
ILMN_1705250,Gene_476
ILMN_1722621,Gene_477
ILMN_1721495,Gene_478
ILMN_1798690,Gene_479
ILMN_1687035,Gene_480
ILMN_1777683,Gene_481
ILMN_1762294,Gene_482
ILMN_1793040,Gene_483
ILMN_1763000,Gene_484
ILMN_1776777,Gene_485
ILMN_1706963,Gene_486
ILMN_2320964,Gene_487
ILMN_1697628,Gene_488
ILMN_2319326,Gene_489
ILMN_1657442,Gene_490
ILMN_1679797,Gene_491
ILMN_1749493,Gene_492
ILMN_1657139,Gene_493
ILMN_1806275,Gene_494
ILMN_1659599,Gene_495
ILMN_1698777,Gene_496
ILMN_1663132,Gene_497
ILMN_1700349,Gene_498
ILMN_1761309,Gene_499
ILMN_2120555,Gene_500
ILMN_1742073,Gene_501
ILMN_1810691,Gene_502
ILMN_1676893,Gene_503
ILMN_2148944,Gene_504
ILMN_1708588,Gene_505
ILMN_2311674,Gene_506
ILMN_1685156,Gene_507
ILMN_1655935,Gene_508
ILMN_1754440,Gene_509
ILMN_1654287,Gene_510
ILMN_1763344,Gene_511
ILMN_1711736,Gene_512
ILMN_2356786,Gene_513
ILMN_1759252,Gene_514
ILMN_1678791,Gene_515
ILMN_2336146,Gene_516
ILMN_2286339,Gene_517
ILMN_1694133,Gene_518
ILMN_1678501,Gene_519
ILMN_1787378,Gene_520
ILMN_1814526,Gene_521
ILMN_2311278,Gene_522
ILMN_1764309,Gene_523
ILMN_1811598,Gene_524
ILMN_1740717,Gene_525
ILMN_2136010,Gene_526
ILMN_1797912,Gene_527
ILMN_1738604,Gene_528
ILMN_1691175,Gene_529
ILMN_2223359,Gene_530
ILMN_1702858,Gene_531
ILMN_2363634,Gene_532
ILMN_1813975,Gene_533
ILMN_1743331,Gene_534
ILMN_1775045,Gene_535
ILMN_2096322,Gene_536
ILMN_1688322,Gene_537
ILMN_2224833,Gene_538
ILMN_2358626,Gene_539
ILMN_1768062,Gene_540
ILMN_2358628,Gene_541
ILMN_1801020,Gene_542
ILMN_1708934,Gene_543
ILMN_1702933,Gene_544
ILMN_1657993,Gene_545
ILMN_1666019,Gene_546
ILMN_2080751,Gene_547
ILMN_1690352,Gene_548
ILMN_2275396,Gene_549
ILMN_2373444,Gene_550
ILMN_1747227,Gene_551
ILMN_1807372,Gene_552
ILMN_1703946,Gene_553
ILMN_1733259,Gene_554
ILMN_1730710,Gene_555
ILMN_1793959,Gene_556
ILMN_1794512,Gene_557
ILMN_1795788,Gene_558
ILMN_1760335,Gene_559
ILMN_1788530,Gene_560
ILMN_1811480,Gene_561
ILMN_1813598,Gene_562
ILMN_1653821,Gene_563
ILMN_1780551,Gene_564
ILMN_1669227,Gene_565
ILMN_1709167,Gene_566
ILMN_1679754,Gene_567
ILMN_1716421,Gene_568
ILMN_1659371,Gene_569
ILMN_1677868,Gene_570
ILMN_1707445,Gene_571
ILMN_1733963,Gene_572
ILMN_1804255,Gene_573
ILMN_1695590,Gene_574
ILMN_1694007,Gene_575
ILMN_1673330,Gene_576
ILMN_1668900,Gene_577
ILMN_2389013,Gene_578
ILMN_1760143,Gene_579
ILMN_1790757,Gene_580
ILMN_2092664,Gene_581
ILMN_1778796,Gene_582
ILMN_1749804,Gene_583
ILMN_1720235,Gene_584
ILMN_2240009,Gene_585
ILMN_1736178,Gene_586
ILMN_1803376,Gene_587
ILMN_1712944,Gene_588
ILMN_2333107,Gene_589
ILMN_1707958,Gene_590
ILMN_1660424,Gene_591
ILMN_1701998,Gene_592
ILMN_1651235,Gene_593
ILMN_1694140,Gene_594
ILMN_1730995,Gene_595
ILMN_2404917,Gene_596
ILMN_1702696,Gene_597
ILMN_2084562,Gene_598
ILMN_1769563,Gene_599
ILMN_1673119,Gene_600
ILMN_2129015,Gene_601
ILMN_1725889,Gene_602
ILMN_1775235,Gene_603
ILMN_1677951,Gene_604
ILMN_1708502,Gene_605
ILMN_1705447,Gene_606
ILMN_1699172,Gene_607
ILMN_2409898,Gene_608
ILMN_2295698,Gene_609
ILMN_2066124,Gene_610
ILMN_1777797,Gene_611
ILMN_2095653,Gene_612
ILMN_1707551,Gene_613
ILMN_1782204,Gene_614
ILMN_2402766,Gene_615
ILMN_1767722,Gene_616
ILMN_2342841,Gene_617
ILMN_1802631,Gene_618
ILMN_2318481,Gene_619
ILMN_2245223,Gene_620
ILMN_1735591,Gene_621
ILMN_2362126,Gene_622
ILMN_2269136,Gene_623
ILMN_2120103,Gene_624
ILMN_2100055,Gene_625
ILMN_1887648,Gene_626
ILMN_1688627,Gene_627
ILMN_1672767,Gene_628
ILMN_2196642,Gene_629
ILMN_2308689,Gene_630
ILMN_2290776,Gene_631
ILMN_1777182,Gene_632
ILMN_1729777,Gene_633
ILMN_1690829,Gene_634
ILMN_2257015,Gene_635
ILMN_1652023,Gene_636
ILMN_1703228,Gene_637
ILMN_2064917,Gene_638
ILMN_1776153,Gene_639
ILMN_1772645,Gene_640
ILMN_1775082,Gene_641
ILMN_1680343,Gene_642
ILMN_2277492,Gene_643
ILMN_2371825,Gene_644
ILMN_1717468,Gene_645
ILMN_2274377,Gene_646
ILMN_1750235,Gene_647
ILMN_1664006,Gene_648
ILMN_1707169,Gene_649
ILMN_1779109,Gene_650
ILMN_1697790,Gene_651
ILMN_1679520,Gene_652
ILMN_1732176,Gene_653
ILMN_1681081,Gene_654
ILMN_2377430,Gene_655
ILMN_1661373,Gene_656
ILMN_2288175,Gene_657
ILMN_1654010,Gene_658
ILMN_1732672,Gene_659
ILMN_1730504,Gene_660
ILMN_1662049,Gene_661
ILMN_1740752,Gene_662
ILMN_1794875,Gene_663
ILMN_1698209,Gene_664
ILMN_1814151,Gene_665
ILMN_2050246,Gene_666
ILMN_1728787,Gene_667
ILMN_2234605,Gene_668
ILMN_1770454,Gene_669
ILMN_1770336,Gene_670
ILMN_1714253,Gene_671
ILMN_1813530,Gene_672
ILMN_2223922,Gene_673
ILMN_1718071,Gene_674
ILMN_1814327,Gene_675
ILMN_2341343,Gene_676
ILMN_1775634,Gene_677
ILMN_1802458,Gene_678
ILMN_2307656,Gene_679
ILMN_1709796,Gene_680
ILMN_1783963,Gene_681
ILMN_2134801,Gene_682
ILMN_1757807,Gene_683
ILMN_1673529,Gene_684
ILMN_1686370,Gene_685
ILMN_1809139,Gene_686
ILMN_1747504,Gene_687
ILMN_1666679,Gene_688
ILMN_1657862,Gene_689
ILMN_1770412,Gene_690
ILMN_1712786,Gene_691
ILMN_1680111,Gene_692
ILMN_1791006,Gene_693
ILMN_1714567,Gene_694
ILMN_1792495,Gene_695
ILMN_1752159,Gene_696
ILMN_1812640,Gene_697
ILMN_2162799,Gene_698
ILMN_1782679,Gene_699
ILMN_1703617,Gene_700
ILMN_1798308,Gene_701
ILMN_1730625,Gene_702
ILMN_1696512,Gene_703
ILMN_2164164,Gene_704
ILMN_1703538,Gene_705
ILMN_1792473,Gene_706
ILMN_1771827,Gene_707
ILMN_1770725,Gene_708
ILMN_2313821,Gene_709
ILMN_1717357,Gene_710
ILMN_1668408,Gene_711
ILMN_1667183,Gene_712
ILMN_1712639,Gene_713
ILMN_1704173,Gene_714
ILMN_1797974,Gene_715
ILMN_1688625,Gene_716
ILMN_1776916,Gene_717
ILMN_2113340,Gene_718
ILMN_1669557,Gene_719
ILMN_2214232,Gene_720
ILMN_1681301,Gene_721
ILMN_1673252,Gene_722
ILMN_2103841,Gene_723
ILMN_2368268,Gene_724
ILMN_2415292,Gene_725
ILMN_1670282,Gene_726
ILMN_2261519,Gene_727
ILMN_1791236,Gene_728
ILMN_1723521,Gene_729
ILMN_2242299,Gene_730
ILMN_2312764,Gene_731
ILMN_1779965,Gene_732
ILMN_1670542,Gene_733
ILMN_1655645,Gene_734
ILMN_1716053,Gene_735
ILMN_1778173,Gene_736
ILMN_2338038,Gene_737
ILMN_1686522,Gene_738
ILMN_1764090,Gene_739
ILMN_1798249,Gene_740
ILMN_1656593,Gene_741
ILMN_2283473,Gene_742
ILMN_2387712,Gene_743
ILMN_1684305,Gene_744
ILMN_1712530,Gene_745
ILMN_1662598,Gene_746
ILMN_1718808,Gene_747
ILMN_1783818,Gene_748
ILMN_2293758,Gene_749
ILMN_1735539,Gene_750
ILMN_2280189,Gene_751
ILMN_1693220,Gene_752
ILMN_1684836,Gene_753
ILMN_1715532,Gene_754
ILMN_1686846,Gene_755
ILMN_2308950,Gene_756
ILMN_1709101,Gene_757
ILMN_1752247,Gene_758
ILMN_2396956,Gene_759
ILMN_1679987,Gene_760
ILMN_1673542,Gene_761
ILMN_1802537,Gene_762
ILMN_1675507,Gene_763
ILMN_1691959,Gene_764
ILMN_1737754,Gene_765
ILMN_1808905,Gene_766
ILMN_2268556,Gene_767
ILMN_2253207,Gene_768
ILMN_1734794,Gene_769
ILMN_1690818,Gene_770
ILMN_1770758,Gene_771
ILMN_2293529,Gene_772
ILMN_1703049,Gene_773
ILMN_1733690,Gene_774
ILMN_2410406,Gene_775
ILMN_1741572,Gene_776
ILMN_1768962,Gene_777
ILMN_2400663,Gene_778
ILMN_2396691,Gene_779
ILMN_1802799,Gene_780
ILMN_1679383,Gene_781
ILMN_1658337,Gene_782
ILMN_2148847,Gene_783
ILMN_1770673,Gene_784
ILMN_2205785,Gene_785
ILMN_1728047,Gene_786
ILMN_1774938,Gene_787
ILMN_2380771,Gene_788
ILMN_1701731,Gene_789
ILMN_1672148,Gene_790
ILMN_2278335,Gene_791
ILMN_1662507,Gene_792
ILMN_1668617,Gene_793
ILMN_1719154,Gene_794
ILMN_1773417,Gene_795
ILMN_2412336,Gene_796
ILMN_1730191,Gene_797
ILMN_1713124,Gene_798
ILMN_1668880,Gene_799
ILMN_1687757,Gene_800
ILMN_1685803,Gene_801
ILMN_1692661,Gene_802
ILMN_2157277,Gene_803
ILMN_1694985,Gene_804
ILMN_1677043,Gene_805
ILMN_2145396,Gene_806
ILMN_1718483,Gene_807
ILMN_2388507,Gene_808
ILMN_2410909,Gene_809
ILMN_1748661,Gene_810
ILMN_1726906,Gene_811
ILMN_1743347,Gene_812
ILMN_1733598,Gene_813
ILMN_1757130,Gene_814
ILMN_2325612,Gene_815
ILMN_2325610,Gene_816
ILMN_2377240,Gene_817
ILMN_1665982,Gene_818
ILMN_2404657,Gene_819
ILMN_1747577,Gene_820
ILMN_1679898,Gene_821
ILMN_1700047,Gene_822
ILMN_2385647,Gene_823
ILMN_1728309,Gene_824
ILMN_1708323,Gene_825
ILMN_2367126,Gene_826
ILMN_2271875,Gene_827
ILMN_1782939,Gene_828
ILMN_1682763,Gene_829
ILMN_1670870,Gene_830
ILMN_2051381,Gene_831
ILMN_2302716,Gene_832
ILMN_2096372,Gene_833
ILMN_1709348,Gene_834
ILMN_1748538,Gene_835
ILMN_2383707,Gene_836
ILMN_1807439,Gene_837
ILMN_2139970,Gene_838
ILMN_2150894,Gene_839
ILMN_1675398,Gene_840
ILMN_1802167,Gene_841
ILMN_1736539,Gene_842
ILMN_2182980,Gene_843
ILMN_1793859,Gene_844
ILMN_1702503,Gene_845
ILMN_1667564,Gene_846
ILMN_1794825,Gene_847
ILMN_2401641,Gene_848
ILMN_1727965,Gene_849
ILMN_1728662,Gene_850
ILMN_2363880,Gene_851
ILMN_1761514,Gene_852
ILMN_1763666,Gene_853
ILMN_2244841,Gene_854
ILMN_1656368,Gene_855
ILMN_1696099,Gene_856
ILMN_2406557,Gene_857
ILMN_2372403,Gene_858
ILMN_2372398,Gene_859
ILMN_1785284,Gene_860
ILMN_2096985,Gene_861
ILMN_1687508,Gene_862
ILMN_1763461,Gene_863
ILMN_2365176,Gene_864
ILMN_1681938,Gene_865
ILMN_1699258,Gene_866
ILMN_1761804,Gene_867
ILMN_1681374,Gene_868
ILMN_1736700,Gene_869
ILMN_2251253,Gene_870
ILMN_1741148,Gene_871
ILMN_1747716,Gene_872
ILMN_1755974,Gene_873
ILMN_1718093,Gene_874
ILMN_1730304,Gene_875
ILMN_1666325,Gene_876
ILMN_1660856,Gene_877
ILMN_2120982,Gene_878
ILMN_1743995,Gene_879
ILMN_2147503,Gene_880
ILMN_1761456,Gene_881
ILMN_1743635,Gene_882
ILMN_2191822,Gene_883
ILMN_2131293,Gene_884
ILMN_1782084,Gene_885
ILMN_1737945,Gene_886
ILMN_1722688,Gene_887
ILMN_1711886,Gene_888
ILMN_1806845,Gene_889
ILMN_1664449,Gene_890
ILMN_1771411,Gene_891
ILMN_2365686,Gene_892
ILMN_2271014,Gene_893
ILMN_1685413,Gene_894
ILMN_1732809,Gene_895
ILMN_1753135,Gene_896
ILMN_2276750,Gene_897
ILMN_1758038,Gene_898
ILMN_2375973,Gene_899
ILMN_1690252,Gene_900
ILMN_2134062,Gene_901
ILMN_1805673,Gene_902
ILMN_1657283,Gene_903
ILMN_1808792,Gene_904
ILMN_1761764,Gene_905
ILMN_1779190,Gene_906
ILMN_1796946,Gene_907
ILMN_1784583,Gene_908
ILMN_1681046,Gene_909
ILMN_1709474,Gene_910
ILMN_1713731,Gene_911
ILMN_1692332,Gene_912
ILMN_2137544,Gene_913
ILMN_1735987,Gene_914
ILMN_1676042,Gene_915
