hsa-let-7a-1,Gene_1
hsa-mir-1305,Gene_164
hsa-mir-1306,Gene_165
hsa-mir-1307,Gene_166
hsa-mir-130a,Gene_167
hsa-mir-130b,Gene_168
hsa-mir-132,Gene_169
hsa-mir-1321,Gene_170
hsa-mir-1322,Gene_171
hsa-mir-1323,Gene_172
hsa-mir-1324,Gene_173
hsa-mir-133a-1,Gene_174
hsa-mir-133a-2,Gene_175
hsa-mir-133b,Gene_176
hsa-mir-134,Gene_177
hsa-mir-1343,Gene_178
hsa-mir-135a-1,Gene_179
hsa-mir-135a-2,Gene_180
hsa-mir-135b,Gene_181
hsa-mir-136,Gene_182
hsa-mir-137,Gene_183
hsa-mir-138-1,Gene_184
hsa-mir-138-2,Gene_185
hsa-mir-139,Gene_186
hsa-mir-140,Gene_187
hsa-mir-141,Gene_188
hsa-mir-142,Gene_189
hsa-mir-143,Gene_190
hsa-mir-144,Gene_191
hsa-mir-145,Gene_192
hsa-mir-1468,Gene_193
hsa-mir-1469,Gene_194
hsa-mir-146a,Gene_195
hsa-mir-146b,Gene_196
hsa-mir-1470,Gene_197
hsa-mir-1471,Gene_198
hsa-mir-147a,Gene_199
hsa-mir-147b,Gene_200
hsa-mir-148a,Gene_201
hsa-mir-148b,Gene_202
hsa-mir-149,Gene_203
hsa-mir-150,Gene_204
hsa-mir-151a,Gene_205
hsa-mir-151b,Gene_206
hsa-mir-152,Gene_207
hsa-mir-153-1,Gene_208
hsa-mir-153-2,Gene_209
hsa-mir-1537,Gene_210
hsa-mir-1538,Gene_211
hsa-mir-1539,Gene_212
hsa-mir-154,Gene_213
hsa-mir-155,Gene_214
hsa-mir-1587,Gene_215
hsa-mir-15a,Gene_216
hsa-mir-15b,Gene_217
hsa-mir-16-1,Gene_218
hsa-mir-16-2,Gene_219
hsa-mir-17,Gene_220
hsa-mir-181a-1,Gene_221
hsa-mir-181a-2,Gene_222
hsa-mir-181b-1,Gene_223
hsa-mir-181b-2,Gene_224
hsa-mir-181c,Gene_225
hsa-mir-181d,Gene_226
hsa-mir-182,Gene_227
hsa-mir-1825,Gene_228
hsa-mir-1827,Gene_229
hsa-mir-183,Gene_230
hsa-mir-184,Gene_231
hsa-mir-185,Gene_232
hsa-mir-186,Gene_233
hsa-mir-187,Gene_234
hsa-mir-188,Gene_235
hsa-mir-18a,Gene_236
hsa-mir-18b,Gene_237
hsa-mir-1908,Gene_238
hsa-mir-1909,Gene_239
hsa-mir-190a,Gene_240
hsa-mir-190b,Gene_241
hsa-mir-191,Gene_242
hsa-mir-1910,Gene_243
hsa-mir-1911,Gene_244
hsa-mir-1912,Gene_245
hsa-mir-1913,Gene_246
hsa-mir-1914,Gene_247
hsa-mir-1915,Gene_248
hsa-mir-192,Gene_249
hsa-mir-193a,Gene_250
hsa-mir-193b,Gene_251
hsa-mir-194-1,Gene_252
hsa-mir-194-2,Gene_253
hsa-mir-195,Gene_254
hsa-mir-196a-1,Gene_255
hsa-mir-196a-2,Gene_256
hsa-mir-196b,Gene_257
hsa-mir-197,Gene_258
hsa-mir-1972-1,Gene_259
hsa-mir-1972-2,Gene_260
hsa-mir-1973,Gene_261
hsa-mir-1976,Gene_262
hsa-mir-198,Gene_263
hsa-mir-199a-1,Gene_264
hsa-mir-199a-2,Gene_265
hsa-mir-199b,Gene_266
hsa-mir-19a,Gene_267
hsa-mir-19b-1,Gene_268
hsa-mir-19b-2,Gene_269
hsa-mir-200a,Gene_270
hsa-mir-200b,Gene_271
hsa-mir-200c,Gene_272
hsa-mir-202,Gene_273
hsa-mir-203a,Gene_274
hsa-mir-203b,Gene_275
hsa-mir-204,Gene_276
hsa-mir-205,Gene_277
hsa-mir-2052,Gene_278
hsa-mir-2053,Gene_279
hsa-mir-2054,Gene_280
hsa-mir-206,Gene_281
hsa-mir-208a,Gene_282
hsa-mir-208b,Gene_283
hsa-mir-20a,Gene_284
hsa-mir-20b,Gene_285
hsa-mir-21,Gene_286
hsa-mir-210,Gene_287
hsa-mir-211,Gene_288
hsa-mir-2110,Gene_289
hsa-mir-2113,Gene_290
hsa-mir-2114,Gene_291
hsa-mir-2115,Gene_292
hsa-mir-2116,Gene_293
hsa-mir-2117,Gene_294
hsa-mir-212,Gene_295
hsa-mir-214,Gene_296
hsa-mir-215,Gene_297
hsa-mir-216a,Gene_298
hsa-mir-216b,Gene_299
hsa-mir-217,Gene_300
hsa-mir-218-1,Gene_301
hsa-mir-218-2,Gene_302
hsa-mir-219a-1,Gene_303
hsa-mir-219a-2,Gene_304
hsa-mir-219b,Gene_305
hsa-mir-22,Gene_306
hsa-mir-221,Gene_307
hsa-mir-222,Gene_308
hsa-mir-223,Gene_309
hsa-mir-224,Gene_310
hsa-mir-2276,Gene_311
hsa-mir-2277,Gene_312
hsa-mir-2278,Gene_313
hsa-mir-2355,Gene_314
hsa-mir-2392,Gene_315
hsa-mir-23a,Gene_316
hsa-mir-23b,Gene_317
hsa-mir-23c,Gene_318
hsa-mir-24-1,Gene_319
hsa-mir-24-2,Gene_320
hsa-mir-2467,Gene_321
hsa-mir-25,Gene_322
hsa-mir-2681,Gene_323
hsa-mir-2682,Gene_324
hsa-mir-26a-1,Gene_325
hsa-mir-26a-2,Gene_326
hsa-mir-26b,Gene_327
hsa-mir-27a,Gene_328
hsa-mir-27b,Gene_329
hsa-mir-28,Gene_330
hsa-mir-2861,Gene_331
hsa-mir-2909,Gene_332
hsa-mir-296,Gene_333
hsa-mir-297,Gene_334
hsa-mir-298,Gene_335
hsa-mir-299,Gene_336
hsa-mir-29a,Gene_337
hsa-mir-29b-1,Gene_338
hsa-mir-29b-2,Gene_339
hsa-mir-29c,Gene_340
hsa-mir-300,Gene_341
hsa-mir-301a,Gene_342
hsa-mir-301b,Gene_343
hsa-mir-302a,Gene_344
hsa-mir-302b,Gene_345
hsa-mir-302c,Gene_346
hsa-mir-302d,Gene_347
hsa-mir-302e,Gene_348
hsa-mir-302f,Gene_349
hsa-mir-3064,Gene_350
hsa-mir-3065,Gene_351
hsa-mir-3074,Gene_352
hsa-mir-30a,Gene_353
hsa-mir-30b,Gene_354
hsa-mir-30c-1,Gene_355
hsa-mir-30c-2,Gene_356
hsa-mir-30d,Gene_357
hsa-mir-30e,Gene_358
hsa-mir-31,Gene_359
hsa-mir-3115,Gene_360
hsa-mir-3116-1,Gene_361
hsa-mir-3116-2,Gene_362
hsa-mir-3117,Gene_363
hsa-mir-3118-1,Gene_364
hsa-mir-3118-2,Gene_365
hsa-mir-3118-3,Gene_366
hsa-mir-3118-4,Gene_367
hsa-mir-3119-1,Gene_368
hsa-mir-3119-2,Gene_369
hsa-mir-3120,Gene_370
hsa-mir-3121,Gene_371
hsa-mir-3122,Gene_372
hsa-mir-3123,Gene_373
hsa-mir-3124,Gene_374
hsa-mir-3125,Gene_375
hsa-mir-3126,Gene_376
hsa-mir-3127,Gene_377
hsa-mir-3128,Gene_378
hsa-mir-3129,Gene_379
hsa-mir-3130-1,Gene_380
hsa-mir-3130-2,Gene_381
hsa-mir-3131,Gene_382
hsa-mir-3132,Gene_383
hsa-mir-3133,Gene_384
hsa-mir-3134,Gene_385
hsa-mir-3135a,Gene_386
hsa-mir-3135b,Gene_387
hsa-mir-3136,Gene_388
hsa-mir-3137,Gene_389
hsa-mir-3138,Gene_390
hsa-mir-3139,Gene_391
hsa-mir-3140,Gene_392
hsa-mir-3141,Gene_393
hsa-mir-3142,Gene_394
hsa-mir-3143,Gene_395
hsa-mir-3144,Gene_396
hsa-mir-3145,Gene_397
hsa-mir-3146,Gene_398
hsa-mir-3147,Gene_399
hsa-mir-3148,Gene_400
hsa-mir-3149,Gene_401
hsa-mir-3150a,Gene_402
hsa-mir-3150b,Gene_403
hsa-mir-3151,Gene_404
hsa-mir-3152,Gene_405
hsa-mir-3153,Gene_406
hsa-mir-3154,Gene_407
hsa-mir-3155a,Gene_408
hsa-mir-3155b,Gene_409
hsa-mir-3156-1,Gene_410
hsa-mir-3156-2,Gene_411
hsa-mir-3156-3,Gene_412
hsa-mir-3157,Gene_413
hsa-mir-3158-1,Gene_414
hsa-mir-3158-2,Gene_415
hsa-mir-3159,Gene_416
hsa-mir-3160-1,Gene_417
hsa-mir-3160-2,Gene_418
hsa-mir-3161,Gene_419
hsa-mir-3162,Gene_420
hsa-mir-3163,Gene_421
hsa-mir-3164,Gene_422
hsa-mir-3165,Gene_423
hsa-mir-3166,Gene_424
hsa-mir-3167,Gene_425
hsa-mir-3168,Gene_426
hsa-mir-3169,Gene_427
hsa-mir-3170,Gene_428
hsa-mir-3171,Gene_429
hsa-mir-3173,Gene_430
hsa-mir-3174,Gene_431
hsa-mir-3175,Gene_432
hsa-mir-3176,Gene_433
hsa-mir-3177,Gene_434
hsa-mir-3178,Gene_435
hsa-mir-3179-1,Gene_436
hsa-mir-3179-2,Gene_437
hsa-mir-3179-3,Gene_438
hsa-mir-3179-4,Gene_439
hsa-mir-3180-1,Gene_440
hsa-mir-3180-2,Gene_441
hsa-mir-3180-3,Gene_442
hsa-mir-3180-4,Gene_443
hsa-mir-3180-5,Gene_444
hsa-mir-3181,Gene_445
hsa-mir-3182,Gene_446
hsa-mir-3183,Gene_447
hsa-mir-3184,Gene_448
hsa-mir-3185,Gene_449
hsa-mir-3186,Gene_450
hsa-mir-3187,Gene_451
hsa-mir-3188,Gene_452
hsa-mir-3189,Gene_453
hsa-mir-3190,Gene_454
hsa-mir-3191,Gene_455
hsa-mir-3192,Gene_456
hsa-mir-3193,Gene_457
hsa-mir-3194,Gene_458
hsa-mir-3195,Gene_459
hsa-mir-3196,Gene_460
hsa-mir-3197,Gene_461
hsa-mir-3198-1,Gene_462
hsa-mir-3198-2,Gene_463
hsa-mir-3199-1,Gene_464
hsa-mir-3199-2,Gene_465
hsa-mir-32,Gene_466
hsa-mir-3200,Gene_467
hsa-mir-3201,Gene_468
hsa-mir-3202-1,Gene_469
hsa-mir-3202-2,Gene_470
hsa-mir-320a,Gene_471
hsa-mir-320b-1,Gene_472
hsa-mir-320b-2,Gene_473
hsa-mir-320c-1,Gene_474
hsa-mir-320c-2,Gene_475
hsa-mir-320d-1,Gene_476
hsa-mir-320d-2,Gene_477
hsa-mir-320e,Gene_478
hsa-mir-323a,Gene_479
hsa-mir-323b,Gene_480
hsa-mir-324,Gene_481
hsa-mir-325,Gene_482
hsa-mir-326,Gene_483
hsa-mir-328,Gene_484
hsa-mir-329-1,Gene_485
hsa-mir-329-2,Gene_486
hsa-mir-330,Gene_487
hsa-mir-331,Gene_488
hsa-mir-335,Gene_489
hsa-mir-337,Gene_490
hsa-mir-338,Gene_491
hsa-mir-339,Gene_492
hsa-mir-33a,Gene_493
hsa-mir-33b,Gene_494
hsa-mir-340,Gene_495
hsa-mir-342,Gene_496
hsa-mir-345,Gene_497
hsa-mir-346,Gene_498
hsa-mir-34a,Gene_499
hsa-mir-34b,Gene_500
hsa-mir-34c,Gene_501
hsa-mir-3529,Gene_502
hsa-mir-3591,Gene_503
hsa-mir-3605,Gene_504
hsa-mir-3606,Gene_505
hsa-mir-3607,Gene_506
hsa-mir-3609,Gene_507
hsa-mir-361,Gene_508
hsa-mir-3610,Gene_509
hsa-mir-3611,Gene_510
hsa-mir-3612,Gene_511
hsa-mir-3613,Gene_512
hsa-mir-3614,Gene_513
hsa-mir-3615,Gene_514
hsa-mir-3616,Gene_515
hsa-mir-3617,Gene_516
hsa-mir-3618,Gene_517
hsa-mir-3619,Gene_518
hsa-mir-362,Gene_519
hsa-mir-3620,Gene_520
hsa-mir-3621,Gene_521
hsa-mir-3622a,Gene_522
hsa-mir-3622b,Gene_523
hsa-mir-363,Gene_524
hsa-mir-3646,Gene_525
hsa-mir-3648-1,Gene_526
hsa-mir-3648-2,Gene_527
hsa-mir-3649,Gene_528
hsa-mir-3650,Gene_529
hsa-mir-3651,Gene_530
hsa-mir-3652,Gene_531
hsa-mir-3653,Gene_532
hsa-mir-3654,Gene_533
hsa-mir-3655,Gene_534
hsa-mir-3656,Gene_535
hsa-mir-3657,Gene_536
hsa-mir-3658,Gene_537
hsa-mir-3659,Gene_538
hsa-mir-365a,Gene_539
hsa-mir-365b,Gene_540
hsa-mir-3660,Gene_541
hsa-mir-3661,Gene_542
hsa-mir-3662,Gene_543
hsa-mir-3663,Gene_544
hsa-mir-3664,Gene_545
hsa-mir-3665,Gene_546
hsa-mir-3666,Gene_547
hsa-mir-3667,Gene_548
hsa-mir-3668,Gene_549
hsa-mir-367,Gene_550
hsa-mir-3670-1,Gene_551
hsa-mir-3670-2,Gene_552
hsa-mir-3670-3,Gene_553
hsa-mir-3670-4,Gene_554
hsa-mir-3671,Gene_555
hsa-mir-3672,Gene_556
hsa-mir-3674,Gene_557
hsa-mir-3675,Gene_558
hsa-mir-3677,Gene_559
hsa-mir-3678,Gene_560
hsa-mir-3679,Gene_561
hsa-mir-3680-1,Gene_562
hsa-mir-3680-2,Gene_563
hsa-mir-3681,Gene_564
hsa-mir-3682,Gene_565
hsa-mir-3683,Gene_566
hsa-mir-3684,Gene_567
hsa-mir-3685,Gene_568
hsa-mir-3686,Gene_569
hsa-mir-3687-1,Gene_570
hsa-mir-3687-2,Gene_571
hsa-mir-3688-1,Gene_572
hsa-mir-3688-2,Gene_573
hsa-mir-3689a,Gene_574
hsa-mir-3689b,Gene_575
hsa-mir-3689c,Gene_576
hsa-mir-3689d-1,Gene_577
hsa-mir-3689d-2,Gene_578
hsa-mir-3689e,Gene_579
hsa-mir-3689f,Gene_580
hsa-mir-369,Gene_581
hsa-mir-3690-1,Gene_582
hsa-mir-3690-2,Gene_583
hsa-mir-3691,Gene_584
hsa-mir-3692,Gene_585
hsa-mir-370,Gene_586
hsa-mir-3713,Gene_587
hsa-mir-3714,Gene_588
hsa-mir-371a,Gene_589
hsa-mir-371b,Gene_590
hsa-mir-372,Gene_591
hsa-mir-373,Gene_592
hsa-mir-374a,Gene_593
hsa-mir-374b,Gene_594
hsa-mir-374c,Gene_595
hsa-mir-375,Gene_596
hsa-mir-376a-1,Gene_597
hsa-mir-376a-2,Gene_598
hsa-mir-376b,Gene_599
hsa-mir-376c,Gene_600
hsa-mir-377,Gene_601
hsa-mir-378a,Gene_602
hsa-mir-378b,Gene_603
hsa-mir-378c,Gene_604
hsa-mir-378d-1,Gene_605
hsa-mir-378d-2,Gene_606
hsa-mir-378e,Gene_607
hsa-mir-378f,Gene_608
hsa-mir-378g,Gene_609
hsa-mir-378h,Gene_610
hsa-mir-378i,Gene_611
hsa-mir-378j,Gene_612
hsa-mir-379,Gene_613
hsa-mir-380,Gene_614
hsa-mir-381,Gene_615
hsa-mir-382,Gene_616
hsa-mir-383,Gene_617
hsa-mir-384,Gene_618
hsa-mir-3907,Gene_619
hsa-mir-3908,Gene_620
hsa-mir-3909,Gene_621
hsa-mir-3910-1,Gene_622
hsa-mir-3910-2,Gene_623
hsa-mir-3911,Gene_624
hsa-mir-3912,Gene_625
hsa-mir-3913-1,Gene_626
hsa-mir-3913-2,Gene_627
hsa-mir-3914-1,Gene_628
hsa-mir-3914-2,Gene_629
hsa-mir-3915,Gene_630
hsa-mir-3916,Gene_631
hsa-mir-3917,Gene_632
hsa-mir-3918,Gene_633
hsa-mir-3919,Gene_634
hsa-mir-3920,Gene_635
hsa-mir-3921,Gene_636
hsa-mir-3922,Gene_637
hsa-mir-3923,Gene_638
hsa-mir-3924,Gene_639
hsa-mir-3925,Gene_640
hsa-mir-3926-1,Gene_641
hsa-mir-3926-2,Gene_642
hsa-mir-3927,Gene_643
hsa-mir-3928,Gene_644
hsa-mir-3929,Gene_645
hsa-mir-3934,Gene_646
hsa-mir-3935,Gene_647
hsa-mir-3936,Gene_648
hsa-mir-3937,Gene_649
hsa-mir-3938,Gene_650
hsa-mir-3939,Gene_651
hsa-mir-3940,Gene_652
hsa-mir-3941,Gene_653
hsa-mir-3942,Gene_654
hsa-mir-3943,Gene_655
hsa-mir-3944,Gene_656
hsa-mir-3945,Gene_657
hsa-mir-3960,Gene_658
hsa-mir-3972,Gene_659
hsa-mir-3973,Gene_660
hsa-mir-3974,Gene_661
hsa-mir-3975,Gene_662
hsa-mir-3976,Gene_663
hsa-mir-3977,Gene_664
hsa-mir-3978,Gene_665
hsa-mir-409,Gene_666
hsa-mir-410,Gene_667
hsa-mir-411,Gene_668
hsa-mir-412,Gene_669
hsa-mir-421,Gene_670
hsa-mir-422a,Gene_671
hsa-mir-423,Gene_672
hsa-mir-424,Gene_673
hsa-mir-425,Gene_674
hsa-mir-4251,Gene_675
hsa-mir-4252,Gene_676
hsa-mir-4253,Gene_677
hsa-mir-4254,Gene_678
hsa-mir-4255,Gene_679
hsa-mir-4256,Gene_680
hsa-mir-4257,Gene_681
hsa-mir-4258,Gene_682
hsa-mir-4259,Gene_683
hsa-mir-4260,Gene_684
hsa-mir-4261,Gene_685
hsa-mir-4262,Gene_686
hsa-mir-4263,Gene_687
hsa-mir-4264,Gene_688
hsa-mir-4265,Gene_689
hsa-mir-4266,Gene_690
hsa-mir-4267,Gene_691
hsa-mir-4268,Gene_692
hsa-mir-4269,Gene_693
hsa-mir-4270,Gene_694
hsa-mir-4271,Gene_695
hsa-mir-4272,Gene_696
hsa-mir-4273,Gene_697
hsa-mir-4274,Gene_698
hsa-mir-4275,Gene_699
hsa-mir-4276,Gene_700
hsa-mir-4277,Gene_701
hsa-mir-4278,Gene_702
hsa-mir-4279,Gene_703
hsa-mir-4280,Gene_704
hsa-mir-4281,Gene_705
hsa-mir-4282,Gene_706
hsa-mir-4283-1,Gene_707
hsa-mir-4283-2,Gene_708
hsa-mir-4284,Gene_709
hsa-mir-4285,Gene_710
hsa-mir-4286,Gene_711
hsa-mir-4287,Gene_712
hsa-mir-4288,Gene_713
hsa-mir-4289,Gene_714
hsa-mir-429,Gene_715
hsa-mir-4290,Gene_716
hsa-mir-4291,Gene_717
hsa-mir-4292,Gene_718
hsa-mir-4293,Gene_719
hsa-mir-4294,Gene_720
hsa-mir-4295,Gene_721
hsa-mir-4296,Gene_722
hsa-mir-4297,Gene_723
hsa-mir-4298,Gene_724
hsa-mir-4299,Gene_725
hsa-mir-4300,Gene_726
hsa-mir-4301,Gene_727
hsa-mir-4302,Gene_728
hsa-mir-4303,Gene_729
hsa-mir-4304,Gene_730
hsa-mir-4305,Gene_731
hsa-mir-4306,Gene_732
hsa-mir-4307,Gene_733
hsa-mir-4308,Gene_734
hsa-mir-4309,Gene_735
hsa-mir-431,Gene_736
hsa-mir-4310,Gene_737
hsa-mir-4311,Gene_738
hsa-mir-4312,Gene_739
hsa-mir-4313,Gene_740
hsa-mir-4314,Gene_741
hsa-mir-4315-1,Gene_742
hsa-mir-4315-2,Gene_743
hsa-mir-4316,Gene_744
hsa-mir-4317,Gene_745
hsa-mir-4318,Gene_746
hsa-mir-4319,Gene_747
hsa-mir-432,Gene_748
hsa-mir-4320,Gene_749
hsa-mir-4321,Gene_750
hsa-mir-4322,Gene_751
hsa-mir-4323,Gene_752
hsa-mir-4324,Gene_753
hsa-mir-4325,Gene_754
hsa-mir-4326,Gene_755
hsa-mir-4327,Gene_756
hsa-mir-4328,Gene_757
hsa-mir-4329,Gene_758
hsa-mir-433,Gene_759
hsa-mir-4330,Gene_760
hsa-mir-4417,Gene_761
hsa-mir-4418,Gene_762
hsa-mir-4419a,Gene_763
hsa-mir-4419b,Gene_764
hsa-mir-4420,Gene_765
hsa-mir-4421,Gene_766
hsa-mir-4422,Gene_767
hsa-mir-4423,Gene_768
hsa-mir-4424,Gene_769
hsa-mir-4425,Gene_770
hsa-mir-4426,Gene_771
hsa-mir-4427,Gene_772
hsa-mir-4428,Gene_773
hsa-mir-4429,Gene_774
hsa-mir-4430,Gene_775
hsa-mir-4431,Gene_776
hsa-mir-4432,Gene_777
hsa-mir-4433a,Gene_778
hsa-mir-4433b,Gene_779
hsa-mir-4434,Gene_780
hsa-mir-4435-1,Gene_781
hsa-mir-4435-2,Gene_782
hsa-mir-4436a,Gene_783
hsa-mir-4436b-1,Gene_784
hsa-mir-4436b-2,Gene_785
hsa-mir-4437,Gene_786
hsa-mir-4438,Gene_787
hsa-mir-4439,Gene_788
hsa-mir-4440,Gene_789
hsa-mir-4441,Gene_790
hsa-mir-4442,Gene_791
hsa-mir-4443,Gene_792
hsa-mir-4444-1,Gene_793
hsa-mir-4444-2,Gene_794
hsa-mir-4445,Gene_795
hsa-mir-4446,Gene_796
hsa-mir-4447,Gene_797
hsa-mir-4448,Gene_798
hsa-mir-4449,Gene_799
hsa-mir-4450,Gene_800
hsa-mir-4451,Gene_801
hsa-mir-4452,Gene_802
hsa-mir-4453,Gene_803
hsa-mir-4454,Gene_804
hsa-mir-4455,Gene_805
hsa-mir-4456,Gene_806
hsa-mir-4457,Gene_807
hsa-mir-4458,Gene_808
hsa-mir-4459,Gene_809
hsa-mir-4460,Gene_810
hsa-mir-4461,Gene_811
hsa-mir-4462,Gene_812
hsa-mir-4463,Gene_813
hsa-mir-4464,Gene_814
hsa-mir-4465,Gene_815
hsa-mir-4466,Gene_816
hsa-mir-4467,Gene_817
hsa-mir-4468,Gene_818
hsa-mir-4469,Gene_819
hsa-mir-4470,Gene_820
hsa-mir-4471,Gene_821
hsa-mir-4472-1,Gene_822
hsa-mir-4472-2,Gene_823
hsa-mir-4473,Gene_824
hsa-mir-4474,Gene_825
hsa-mir-4475,Gene_826
hsa-mir-4476,Gene_827
hsa-mir-4477a,Gene_828
hsa-mir-4477b,Gene_829
hsa-mir-4478,Gene_830
hsa-mir-4479,Gene_831
hsa-mir-448,Gene_832
hsa-mir-4480,Gene_833
hsa-mir-4481,Gene_834
hsa-mir-4482,Gene_835
hsa-mir-4483,Gene_836
hsa-mir-4484,Gene_837
hsa-mir-4485,Gene_838
hsa-mir-4486,Gene_839
hsa-mir-4487,Gene_840
hsa-mir-4488,Gene_841
hsa-mir-4489,Gene_842
hsa-mir-4490,Gene_843
hsa-mir-4491,Gene_844
hsa-mir-4492,Gene_845
hsa-mir-4493,Gene_846
hsa-mir-4494,Gene_847
hsa-mir-4495,Gene_848
hsa-mir-4496,Gene_849
hsa-mir-4497,Gene_850
hsa-mir-4498,Gene_851
hsa-mir-4499,Gene_852
hsa-mir-449a,Gene_853
hsa-mir-449b,Gene_854
hsa-mir-449c,Gene_855
hsa-mir-4500,Gene_856
hsa-mir-4501,Gene_857
hsa-mir-4502,Gene_858
