Gene_1,"['hsa-let-7a-1', 'hsa-mir-31']"
Gene_24,"['hsa-mir-106b', 'hsa-mir-299', 'hsa-mir-3131']"
Gene_25,"['hsa-mir-107', 'hsa-mir-298', 'hsa-mir-3132']"
Gene_26,"['hsa-mir-10a', 'hsa-mir-297', 'hsa-mir-3133']"
Gene_27,"['hsa-mir-10b', 'hsa-mir-296', 'hsa-mir-3134']"
Gene_28,"['hsa-mir-1178', 'hsa-mir-2909', 'hsa-mir-3135a']"
Gene_29,"['hsa-mir-1179', 'hsa-mir-2861', 'hsa-mir-3135b']"
Gene_30,"['hsa-mir-1180', 'hsa-mir-28', 'hsa-mir-3136']"
Gene_31,"['hsa-mir-1181', 'hsa-mir-27b', 'hsa-mir-3137']"
Gene_32,"['hsa-mir-1182', 'hsa-mir-27a', 'hsa-mir-3138']"
Gene_33,"['hsa-mir-1183', 'hsa-mir-26b', 'hsa-mir-3139']"
Gene_34,"['hsa-mir-1184-1', 'hsa-mir-26a-2', 'hsa-mir-3140']"
Gene_35,"['hsa-mir-1184-2', 'hsa-mir-26a-1', 'hsa-mir-3141']"
Gene_36,"['hsa-mir-1184-3', 'hsa-mir-2682', 'hsa-mir-3142']"
Gene_37,"['hsa-mir-1185-1', 'hsa-mir-2681', 'hsa-mir-3143']"
Gene_38,"['hsa-mir-1185-2', 'hsa-mir-25', 'hsa-mir-3144']"
Gene_39,"['hsa-mir-1193', 'hsa-mir-2467', 'hsa-mir-3145']"
Gene_40,"['hsa-mir-1197', 'hsa-mir-24-2', 'hsa-mir-3146']"
Gene_41,"['hsa-mir-1199', 'hsa-mir-24-1', 'hsa-mir-3147']"
Gene_42,"['hsa-mir-1200', 'hsa-mir-23c', 'hsa-mir-3148']"
Gene_43,"['hsa-mir-1202', 'hsa-mir-23b', 'hsa-mir-3149']"
Gene_44,"['hsa-mir-1203', 'hsa-mir-23a', 'hsa-mir-3150a']"
Gene_45,"['hsa-mir-1204', 'hsa-mir-2392', 'hsa-mir-3150b']"
Gene_46,"['hsa-mir-1205', 'hsa-mir-2355', 'hsa-mir-3151']"
Gene_47,"['hsa-mir-1206', 'hsa-mir-2278', 'hsa-mir-3152']"
Gene_48,"['hsa-mir-1207', 'hsa-mir-2277', 'hsa-mir-3153']"
Gene_49,"['hsa-mir-1208', 'hsa-mir-2276', 'hsa-mir-3154']"
Gene_50,"['hsa-mir-122', 'hsa-mir-224', 'hsa-mir-3155a']"
Gene_51,"['hsa-mir-1224', 'hsa-mir-223', 'hsa-mir-3155b']"
Gene_52,"['hsa-mir-1225', 'hsa-mir-222', 'hsa-mir-3156-1']"
Gene_53,"['hsa-mir-1226', 'hsa-mir-221', 'hsa-mir-3156-2']"
Gene_54,"['hsa-mir-1227', 'hsa-mir-22', 'hsa-mir-3156-3']"
Gene_55,"['hsa-mir-1228', 'hsa-mir-219b', 'hsa-mir-3157']"
Gene_56,"['hsa-mir-1229', 'hsa-mir-219a-2', 'hsa-mir-3158-1']"
Gene_57,"['hsa-mir-1231', 'hsa-mir-219a-1', 'hsa-mir-3158-2']"
Gene_58,"['hsa-mir-1233-1', 'hsa-mir-218-2', 'hsa-mir-3159']"
Gene_59,"['hsa-mir-1233-2', 'hsa-mir-218-1', 'hsa-mir-3160-1']"
Gene_60,"['hsa-mir-1234', 'hsa-mir-217', 'hsa-mir-3160-2']"
Gene_61,"['hsa-mir-1236', 'hsa-mir-216b', 'hsa-mir-3161']"
Gene_62,"['hsa-mir-1237', 'hsa-mir-216a', 'hsa-mir-3162']"
Gene_63,"['hsa-mir-1238', 'hsa-mir-215', 'hsa-mir-3163']"
Gene_64,"['hsa-mir-124-1', 'hsa-mir-214', 'hsa-mir-3164']"
Gene_65,"['hsa-mir-124-2', 'hsa-mir-212', 'hsa-mir-3165']"
Gene_66,"['hsa-mir-124-3', 'hsa-mir-2117', 'hsa-mir-3166']"
Gene_67,"['hsa-mir-1243', 'hsa-mir-2116', 'hsa-mir-3167']"
Gene_68,"['hsa-mir-1244-1', 'hsa-mir-2115', 'hsa-mir-3168']"
Gene_69,"['hsa-mir-1244-2', 'hsa-mir-2114', 'hsa-mir-3169']"
Gene_70,"['hsa-mir-1244-3', 'hsa-mir-2113', 'hsa-mir-3170']"
Gene_71,"['hsa-mir-1244-4', 'hsa-mir-2110', 'hsa-mir-3171']"
Gene_72,"['hsa-mir-1245a', 'hsa-mir-211', 'hsa-mir-3173']"
Gene_73,"['hsa-mir-1245b', 'hsa-mir-210', 'hsa-mir-3174']"
Gene_74,"['hsa-mir-1246', 'hsa-mir-21', 'hsa-mir-3175']"
Gene_75,"['hsa-mir-1247', 'hsa-mir-20b', 'hsa-mir-3176']"
Gene_76,"['hsa-mir-1248', 'hsa-mir-20a', 'hsa-mir-3177']"
Gene_77,"['hsa-mir-1249', 'hsa-mir-208b', 'hsa-mir-3178']"
Gene_78,"['hsa-mir-1250', 'hsa-mir-208a', 'hsa-mir-3179-1']"
Gene_79,"['hsa-mir-1251', 'hsa-mir-206', 'hsa-mir-3179-2']"
Gene_80,"['hsa-mir-1252', 'hsa-mir-2054', 'hsa-mir-3179-3']"
Gene_81,"['hsa-mir-1253', 'hsa-mir-2053', 'hsa-mir-3179-4']"
Gene_82,"['hsa-mir-1254-1', 'hsa-mir-2052', 'hsa-mir-3180-1']"
Gene_83,"['hsa-mir-1254-2', 'hsa-mir-205', 'hsa-mir-3180-2']"
Gene_84,"['hsa-mir-1255a', 'hsa-mir-204', 'hsa-mir-3180-3']"
Gene_85,"['hsa-mir-1255b-1', 'hsa-mir-203b', 'hsa-mir-3180-4']"
Gene_86,"['hsa-mir-1255b-2', 'hsa-mir-203a', 'hsa-mir-3180-5']"
Gene_87,"['hsa-mir-1256', 'hsa-mir-202', 'hsa-mir-3181']"
Gene_88,"['hsa-mir-1257', 'hsa-mir-200c', 'hsa-mir-3182']"
Gene_89,"['hsa-mir-1258', 'hsa-mir-200b', 'hsa-mir-3183']"
Gene_90,"['hsa-mir-125a', 'hsa-mir-200a', 'hsa-mir-3184']"
Gene_91,"['hsa-mir-125b-1', 'hsa-mir-19b-2', 'hsa-mir-3185']"
Gene_92,"['hsa-mir-125b-2', 'hsa-mir-19b-1', 'hsa-mir-3186']"
Gene_93,"['hsa-mir-126', 'hsa-mir-19a', 'hsa-mir-3187']"
Gene_94,"['hsa-mir-1260a', 'hsa-mir-199b', 'hsa-mir-3188']"
Gene_95,"['hsa-mir-1260b', 'hsa-mir-199a-2', 'hsa-mir-3189']"
Gene_96,"['hsa-mir-1261', 'hsa-mir-199a-1', 'hsa-mir-3190']"
Gene_97,"['hsa-mir-1262', 'hsa-mir-198', 'hsa-mir-3191']"
Gene_98,"['hsa-mir-1263', 'hsa-mir-1976', 'hsa-mir-3192']"
Gene_99,"['hsa-mir-1264', 'hsa-mir-1973', 'hsa-mir-3193']"
Gene_100,"['hsa-mir-1265', 'hsa-mir-1972-2', 'hsa-mir-3194']"
Gene_101,"['hsa-mir-1266', 'hsa-mir-1972-1', 'hsa-mir-3195']"
Gene_102,"['hsa-mir-1267', 'hsa-mir-197', 'hsa-mir-3196']"
Gene_103,"['hsa-mir-1268a', 'hsa-mir-196b', 'hsa-mir-3197']"
Gene_104,"['hsa-mir-1268b', 'hsa-mir-196a-2', 'hsa-mir-3198-1']"
Gene_105,"['hsa-mir-1269a', 'hsa-mir-196a-1', 'hsa-mir-3198-2']"
Gene_106,"['hsa-mir-1269b', 'hsa-mir-195', 'hsa-mir-3199-1']"
Gene_107,"['hsa-mir-127', 'hsa-mir-194-2', 'hsa-mir-3199-2']"
Gene_108,"['hsa-mir-1270', 'hsa-mir-194-1', 'hsa-mir-32']"
Gene_109,"['hsa-mir-1271', 'hsa-mir-193b', 'hsa-mir-3200']"
Gene_110,"['hsa-mir-1272', 'hsa-mir-193a', 'hsa-mir-3201']"
Gene_111,"['hsa-mir-1273a', 'hsa-mir-192', 'hsa-mir-3202-1']"
Gene_112,"['hsa-mir-1273c', 'hsa-mir-1915', 'hsa-mir-3202-2']"
Gene_113,"['hsa-mir-1273d', 'hsa-mir-1914', 'hsa-mir-320a']"
Gene_114,"['hsa-mir-1273e', 'hsa-mir-1913', 'hsa-mir-320b-1']"
Gene_115,"['hsa-mir-1273f', 'hsa-mir-1912', 'hsa-mir-320b-2']"
Gene_116,"['hsa-mir-1273g', 'hsa-mir-1911', 'hsa-mir-320c-1']"
Gene_117,"['hsa-mir-1273h', 'hsa-mir-1910', 'hsa-mir-320c-2']"
Gene_118,"['hsa-mir-1275', 'hsa-mir-191', 'hsa-mir-320d-1']"
Gene_119,"['hsa-mir-1276', 'hsa-mir-190b', 'hsa-mir-320d-2']"
Gene_120,"['hsa-mir-1277', 'hsa-mir-190a', 'hsa-mir-320e']"
Gene_121,"['hsa-mir-1278', 'hsa-mir-1909', 'hsa-mir-323a']"
Gene_122,"['hsa-mir-1279', 'hsa-mir-1908', 'hsa-mir-323b']"
Gene_123,"['hsa-mir-128-1', 'hsa-mir-18b', 'hsa-mir-324']"
Gene_124,"['hsa-mir-128-2', 'hsa-mir-18a', 'hsa-mir-325']"
Gene_125,"['hsa-mir-1281', 'hsa-mir-188', 'hsa-mir-326']"
Gene_126,"['hsa-mir-1282', 'hsa-mir-187', 'hsa-mir-328']"
Gene_127,"['hsa-mir-1283-1', 'hsa-mir-186', 'hsa-mir-329-1']"
Gene_128,"['hsa-mir-1283-2', 'hsa-mir-185', 'hsa-mir-329-2']"
Gene_129,"['hsa-mir-1284', 'hsa-mir-184', 'hsa-mir-330']"
Gene_130,"['hsa-mir-1285-1', 'hsa-mir-183', 'hsa-mir-331']"
Gene_131,"['hsa-mir-1285-2', 'hsa-mir-1827', 'hsa-mir-335']"
Gene_132,"['hsa-mir-1286', 'hsa-mir-1825', 'hsa-mir-337']"
Gene_133,"['hsa-mir-1287', 'hsa-mir-182', 'hsa-mir-338']"
Gene_134,"['hsa-mir-1288', 'hsa-mir-181d', 'hsa-mir-339']"
Gene_135,"['hsa-mir-1289-1', 'hsa-mir-181c', 'hsa-mir-33a']"
Gene_136,"['hsa-mir-1289-2', 'hsa-mir-181b-2', 'hsa-mir-33b']"
Gene_137,"['hsa-mir-129-1', 'hsa-mir-181b-1', 'hsa-mir-340']"
Gene_138,"['hsa-mir-129-2', 'hsa-mir-181a-2', 'hsa-mir-342']"
Gene_139,"['hsa-mir-1290', 'hsa-mir-181a-1', 'hsa-mir-345']"
Gene_140,"['hsa-mir-1291', 'hsa-mir-17', 'hsa-mir-346']"
Gene_141,"['hsa-mir-1292', 'hsa-mir-16-2', 'hsa-mir-34a']"
Gene_142,"['hsa-mir-1293', 'hsa-mir-16-1', 'hsa-mir-34b']"
Gene_143,"['hsa-mir-1294', 'hsa-mir-15b', 'hsa-mir-34c']"
Gene_144,"['hsa-mir-1295a', 'hsa-mir-15a', 'hsa-mir-3529']"
Gene_145,"['hsa-mir-1295b', 'hsa-mir-1587', 'hsa-mir-3591']"
Gene_146,"['hsa-mir-1296', 'hsa-mir-155', 'hsa-mir-3605']"
Gene_147,"['hsa-mir-1297', 'hsa-mir-154', 'hsa-mir-3606']"
Gene_148,"['hsa-mir-1298', 'hsa-mir-1539', 'hsa-mir-3607']"
Gene_149,"['hsa-mir-1299', 'hsa-mir-1538', 'hsa-mir-3609']"
Gene_150,"['hsa-mir-1301', 'hsa-mir-1537', 'hsa-mir-361']"
Gene_151,"['hsa-mir-1302-1', 'hsa-mir-153-2', 'hsa-mir-3610']"
Gene_152,"['hsa-mir-1302-10', 'hsa-mir-153-1', 'hsa-mir-3611']"
Gene_153,"['hsa-mir-1302-11', 'hsa-mir-152', 'hsa-mir-3612']"
Gene_154,"['hsa-mir-1302-2', 'hsa-mir-151b', 'hsa-mir-3613']"
Gene_155,"['hsa-mir-1302-3', 'hsa-mir-151a', 'hsa-mir-3614']"
Gene_156,"['hsa-mir-1302-4', 'hsa-mir-150', 'hsa-mir-3615']"
Gene_157,"['hsa-mir-1302-5', 'hsa-mir-149', 'hsa-mir-3616']"
Gene_158,"['hsa-mir-1302-6', 'hsa-mir-148b', 'hsa-mir-3617']"
Gene_159,"['hsa-mir-1302-7', 'hsa-mir-148a', 'hsa-mir-3618']"
Gene_160,"['hsa-mir-1302-8', 'hsa-mir-147b', 'hsa-mir-3619']"
Gene_161,"['hsa-mir-1302-9', 'hsa-mir-147a', 'hsa-mir-362']"
Gene_162,"['hsa-mir-1303', 'hsa-mir-1471', 'hsa-mir-3620']"
Gene_163,"['hsa-mir-1304', 'hsa-mir-1470', 'hsa-mir-3621']"
Gene_164,"['hsa-mir-1305', 'hsa-mir-146b', 'hsa-mir-3622a']"
Gene_165,"['hsa-mir-1306', 'hsa-mir-146a', 'hsa-mir-3622b']"
Gene_166,"['hsa-mir-1307', 'hsa-mir-1469', 'hsa-mir-363']"
Gene_167,"['hsa-mir-130a', 'hsa-mir-1468', 'hsa-mir-3646']"
Gene_168,"['hsa-mir-130b', 'hsa-mir-145', 'hsa-mir-3648-1']"
Gene_169,"['hsa-mir-132', 'hsa-mir-144', 'hsa-mir-3648-2']"
Gene_170,"['hsa-mir-1321', 'hsa-mir-143', 'hsa-mir-3649']"
Gene_171,"['hsa-mir-1322', 'hsa-mir-142', 'hsa-mir-3650']"
Gene_172,"['hsa-mir-1323', 'hsa-mir-141', 'hsa-mir-3651']"
Gene_173,"['hsa-mir-1324', 'hsa-mir-140', 'hsa-mir-3652']"
Gene_174,"['hsa-mir-133a-1', 'hsa-mir-139', 'hsa-mir-3653']"
Gene_175,"['hsa-mir-133a-2', 'hsa-mir-138-2', 'hsa-mir-3654']"
Gene_176,"['hsa-mir-133b', 'hsa-mir-138-1', 'hsa-mir-3655']"
Gene_177,"['hsa-mir-134', 'hsa-mir-137', 'hsa-mir-3656']"
Gene_178,"['hsa-mir-1343', 'hsa-mir-136', 'hsa-mir-3657']"
Gene_179,"['hsa-mir-135a-1', 'hsa-mir-135b', 'hsa-mir-3658']"
Gene_180,"['hsa-mir-135a-2', 'hsa-mir-135a-2', 'hsa-mir-3659']"
Gene_181,"['hsa-mir-135b', 'hsa-mir-135a-1', 'hsa-mir-365a']"
Gene_182,"['hsa-mir-136', 'hsa-mir-1343', 'hsa-mir-365b']"
Gene_183,"['hsa-mir-137', 'hsa-mir-134', 'hsa-mir-3660']"
Gene_184,"['hsa-mir-138-1', 'hsa-mir-133b', 'hsa-mir-3661']"
Gene_185,"['hsa-mir-138-2', 'hsa-mir-133a-2', 'hsa-mir-3662']"
Gene_186,"['hsa-mir-139', 'hsa-mir-133a-1', 'hsa-mir-3663']"
Gene_187,"['hsa-mir-140', 'hsa-mir-1324', 'hsa-mir-3664']"
Gene_188,"['hsa-mir-141', 'hsa-mir-1323', 'hsa-mir-3665']"
Gene_189,"['hsa-mir-142', 'hsa-mir-1322', 'hsa-mir-3666']"
Gene_190,"['hsa-mir-143', 'hsa-mir-1321', 'hsa-mir-3667']"
Gene_191,"['hsa-mir-144', 'hsa-mir-132', 'hsa-mir-3668']"
Gene_192,"['hsa-mir-145', 'hsa-mir-130b', 'hsa-mir-367']"
Gene_193,"['hsa-mir-1468', 'hsa-mir-130a', 'hsa-mir-3670-1']"
Gene_194,"['hsa-mir-1469', 'hsa-mir-1307', 'hsa-mir-3670-2']"
Gene_195,"['hsa-mir-146a', 'hsa-mir-1306', 'hsa-mir-3670-3']"
Gene_196,"['hsa-mir-146b', 'hsa-mir-1305', 'hsa-mir-3670-4']"
Gene_197,"['hsa-mir-1470', 'hsa-mir-1304', 'hsa-mir-3671']"
Gene_198,"['hsa-mir-1471', 'hsa-mir-1303', 'hsa-mir-3672']"
Gene_199,"['hsa-mir-147a', 'hsa-mir-1302-9', 'hsa-mir-3674']"
Gene_200,"['hsa-mir-147b', 'hsa-mir-1302-8', 'hsa-mir-3675']"
Gene_201,"['hsa-mir-148a', 'hsa-mir-1302-7', 'hsa-mir-3677']"
Gene_202,"['hsa-mir-148b', 'hsa-mir-1302-6', 'hsa-mir-3678']"
Gene_203,"['hsa-mir-149', 'hsa-mir-1302-5', 'hsa-mir-3679']"
Gene_204,"['hsa-mir-150', 'hsa-mir-1302-4', 'hsa-mir-3680-1']"
Gene_205,"['hsa-mir-151a', 'hsa-mir-1302-3', 'hsa-mir-3680-2']"
Gene_206,"['hsa-mir-151b', 'hsa-mir-1302-2', 'hsa-mir-3681']"
Gene_207,"['hsa-mir-152', 'hsa-mir-1302-11', 'hsa-mir-3682']"
Gene_208,"['hsa-mir-153-1', 'hsa-mir-1302-10', 'hsa-mir-3683']"
Gene_209,"['hsa-mir-153-2', 'hsa-mir-1302-1', 'hsa-mir-3684']"
Gene_210,"['hsa-mir-1537', 'hsa-mir-1301', 'hsa-mir-3685']"
Gene_211,"['hsa-mir-1538', 'hsa-mir-1299', 'hsa-mir-3686']"
Gene_212,"['hsa-mir-1539', 'hsa-mir-1298', 'hsa-mir-3687-1']"
Gene_213,"['hsa-mir-154', 'hsa-mir-1297', 'hsa-mir-3687-2']"
Gene_214,"['hsa-mir-155', 'hsa-mir-1296', 'hsa-mir-3688-1']"
Gene_215,"['hsa-mir-1587', 'hsa-mir-1295b', 'hsa-mir-3688-2']"
Gene_216,"['hsa-mir-15a', 'hsa-mir-1295a', 'hsa-mir-3689a']"
Gene_217,"['hsa-mir-15b', 'hsa-mir-1294', 'hsa-mir-3689b']"
Gene_218,"['hsa-mir-16-1', 'hsa-mir-1293', 'hsa-mir-3689c']"
Gene_219,"['hsa-mir-16-2', 'hsa-mir-1292', 'hsa-mir-3689d-1']"
Gene_220,"['hsa-mir-17', 'hsa-mir-1291', 'hsa-mir-3689d-2']"
Gene_221,"['hsa-mir-181a-1', 'hsa-mir-1290', 'hsa-mir-3689e']"
Gene_222,"['hsa-mir-181a-2', 'hsa-mir-129-2', 'hsa-mir-3689f']"
Gene_223,"['hsa-mir-181b-1', 'hsa-mir-129-1', 'hsa-mir-369']"
Gene_224,"['hsa-mir-181b-2', 'hsa-mir-1289-2', 'hsa-mir-3690-1']"
Gene_225,"['hsa-mir-181c', 'hsa-mir-1289-1', 'hsa-mir-3690-2']"
Gene_226,"['hsa-mir-181d', 'hsa-mir-1288', 'hsa-mir-3691']"
Gene_227,"['hsa-mir-182', 'hsa-mir-1287', 'hsa-mir-3692']"
Gene_228,"['hsa-mir-1825', 'hsa-mir-1286', 'hsa-mir-370']"
Gene_229,"['hsa-mir-1827', 'hsa-mir-1285-2', 'hsa-mir-3713']"
Gene_230,"['hsa-mir-183', 'hsa-mir-1285-1', 'hsa-mir-3714']"
Gene_231,"['hsa-mir-184', 'hsa-mir-1284', 'hsa-mir-371a']"
Gene_232,"['hsa-mir-185', 'hsa-mir-1283-2', 'hsa-mir-371b']"
Gene_233,"['hsa-mir-186', 'hsa-mir-1283-1', 'hsa-mir-372']"
Gene_234,"['hsa-mir-187', 'hsa-mir-1282', 'hsa-mir-373']"
Gene_235,"['hsa-mir-188', 'hsa-mir-1281', 'hsa-mir-374a']"
Gene_236,"['hsa-mir-18a', 'hsa-mir-128-2', 'hsa-mir-374b']"
Gene_237,"['hsa-mir-18b', 'hsa-mir-128-1', 'hsa-mir-374c']"
Gene_238,"['hsa-mir-1908', 'hsa-mir-1279', 'hsa-mir-375']"
Gene_239,"['hsa-mir-1909', 'hsa-mir-1278', 'hsa-mir-376a-1']"
Gene_240,"['hsa-mir-190a', 'hsa-mir-1277', 'hsa-mir-376a-2']"
Gene_241,"['hsa-mir-190b', 'hsa-mir-1276', 'hsa-mir-376b']"
Gene_242,"['hsa-mir-191', 'hsa-mir-1275', 'hsa-mir-376c']"
Gene_243,"['hsa-mir-1910', 'hsa-mir-1273h', 'hsa-mir-377']"
Gene_244,"['hsa-mir-1911', 'hsa-mir-1273g', 'hsa-mir-378a']"
Gene_245,"['hsa-mir-1912', 'hsa-mir-1273f', 'hsa-mir-378b']"
Gene_246,"['hsa-mir-1913', 'hsa-mir-1273e', 'hsa-mir-378c']"
Gene_247,"['hsa-mir-1914', 'hsa-mir-1273d', 'hsa-mir-378d-1']"
Gene_248,"['hsa-mir-1915', 'hsa-mir-1273c', 'hsa-mir-378d-2']"
Gene_249,"['hsa-mir-192', 'hsa-mir-1273a', 'hsa-mir-378e']"
Gene_250,"['hsa-mir-193a', 'hsa-mir-1272', 'hsa-mir-378f']"
Gene_251,"['hsa-mir-193b', 'hsa-mir-1271', 'hsa-mir-378g']"
Gene_252,"['hsa-mir-194-1', 'hsa-mir-1270', 'hsa-mir-378h']"
Gene_253,"['hsa-mir-194-2', 'hsa-mir-127', 'hsa-mir-378i']"
Gene_254,"['hsa-mir-195', 'hsa-mir-1269b', 'hsa-mir-378j']"
Gene_255,"['hsa-mir-196a-1', 'hsa-mir-1269a', 'hsa-mir-379']"
Gene_256,"['hsa-mir-196a-2', 'hsa-mir-1268b', 'hsa-mir-380']"
Gene_257,"['hsa-mir-196b', 'hsa-mir-1268a', 'hsa-mir-381']"
Gene_258,"['hsa-mir-197', 'hsa-mir-1267', 'hsa-mir-382']"
Gene_259,"['hsa-mir-1972-1', 'hsa-mir-1266', 'hsa-mir-383']"
Gene_260,"['hsa-mir-1972-2', 'hsa-mir-1265', 'hsa-mir-384']"
Gene_261,"['hsa-mir-1973', 'hsa-mir-1264', 'hsa-mir-3907']"
Gene_262,"['hsa-mir-1976', 'hsa-mir-1263', 'hsa-mir-3908']"
Gene_263,"['hsa-mir-198', 'hsa-mir-1262', 'hsa-mir-3909']"
Gene_264,"['hsa-mir-199a-1', 'hsa-mir-1261', 'hsa-mir-3910-1']"
Gene_265,"['hsa-mir-199a-2', 'hsa-mir-1260b', 'hsa-mir-3910-2']"
Gene_266,"['hsa-mir-199b', 'hsa-mir-1260a', 'hsa-mir-3911']"
Gene_267,"['hsa-mir-19a', 'hsa-mir-126', 'hsa-mir-3912']"
Gene_268,"['hsa-mir-19b-1', 'hsa-mir-125b-2', 'hsa-mir-3913-1']"
Gene_269,"['hsa-mir-19b-2', 'hsa-mir-125b-1', 'hsa-mir-3913-2']"
Gene_270,"['hsa-mir-200a', 'hsa-mir-125a', 'hsa-mir-3914-1']"
Gene_271,"['hsa-mir-200b', 'hsa-mir-1258', 'hsa-mir-3914-2']"
Gene_272,"['hsa-mir-200c', 'hsa-mir-1257', 'hsa-mir-3915']"
Gene_273,"['hsa-mir-202', 'hsa-mir-1256', 'hsa-mir-3916']"
Gene_274,"['hsa-mir-203a', 'hsa-mir-1255b-2', 'hsa-mir-3917']"
Gene_275,"['hsa-mir-203b', 'hsa-mir-1255b-1', 'hsa-mir-3918']"
Gene_276,"['hsa-mir-204', 'hsa-mir-1255a', 'hsa-mir-3919']"
Gene_277,"['hsa-mir-205', 'hsa-mir-1254-2', 'hsa-mir-3920']"
Gene_278,"['hsa-mir-2052', 'hsa-mir-1254-1', 'hsa-mir-3921']"
Gene_279,"['hsa-mir-2053', 'hsa-mir-1253', 'hsa-mir-3922']"
Gene_280,"['hsa-mir-2054', 'hsa-mir-1252', 'hsa-mir-3923']"
Gene_281,"['hsa-mir-206', 'hsa-mir-1251', 'hsa-mir-3924']"
Gene_282,"['hsa-mir-208a', 'hsa-mir-1250', 'hsa-mir-3925']"
Gene_283,"['hsa-mir-208b', 'hsa-mir-1249', 'hsa-mir-3926-1']"
Gene_284,"['hsa-mir-20a', 'hsa-mir-1248', 'hsa-mir-3926-2']"
Gene_285,"['hsa-mir-20b', 'hsa-mir-1247', 'hsa-mir-3927']"
Gene_286,"['hsa-mir-21', 'hsa-mir-1246', 'hsa-mir-3928']"
Gene_287,"['hsa-mir-210', 'hsa-mir-1245b', 'hsa-mir-3929']"
Gene_288,"['hsa-mir-211', 'hsa-mir-1245a', 'hsa-mir-3934']"
Gene_289,"['hsa-mir-2110', 'hsa-mir-1244-4', 'hsa-mir-3935']"
Gene_290,"['hsa-mir-2113', 'hsa-mir-1244-3', 'hsa-mir-3936']"
Gene_291,"['hsa-mir-2114', 'hsa-mir-1244-2', 'hsa-mir-3937']"
Gene_292,"['hsa-mir-2115', 'hsa-mir-1244-1', 'hsa-mir-3938']"
Gene_293,"['hsa-mir-2116', 'hsa-mir-1243', 'hsa-mir-3939']"
Gene_294,"['hsa-mir-2117', 'hsa-mir-124-3', 'hsa-mir-3940']"
Gene_295,"['hsa-mir-212', 'hsa-mir-124-2', 'hsa-mir-3941']"
Gene_296,"['hsa-mir-214', 'hsa-mir-124-1', 'hsa-mir-3942']"
Gene_297,"['hsa-mir-215', 'hsa-mir-1238', 'hsa-mir-3943']"
Gene_298,"['hsa-mir-216a', 'hsa-mir-1237', 'hsa-mir-3944']"
Gene_299,"['hsa-mir-216b', 'hsa-mir-1236', 'hsa-mir-3945']"
Gene_300,"['hsa-mir-217', 'hsa-mir-1234', 'hsa-mir-3960']"
Gene_301,"['hsa-mir-218-1', 'hsa-mir-1233-2', 'hsa-mir-3972']"
Gene_302,"['hsa-mir-218-2', 'hsa-mir-1233-1', 'hsa-mir-3973']"
Gene_303,"['hsa-mir-219a-1', 'hsa-mir-1231', 'hsa-mir-3974']"
Gene_304,"['hsa-mir-219a-2', 'hsa-mir-1229', 'hsa-mir-3975']"
Gene_305,"['hsa-mir-219b', 'hsa-mir-1228', 'hsa-mir-3976']"
Gene_306,"['hsa-mir-22', 'hsa-mir-1227', 'hsa-mir-3977']"
Gene_307,"['hsa-mir-221', 'hsa-mir-1226', 'hsa-mir-3978']"
Gene_308,"['hsa-mir-222', 'hsa-mir-1225', 'hsa-mir-409']"
Gene_309,"['hsa-mir-223', 'hsa-mir-1224', 'hsa-mir-410']"
Gene_310,"['hsa-mir-224', 'hsa-mir-122', 'hsa-mir-411']"
